Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Konfirmanderne,,,49,80,4,0.494224,0.523651,211.526164,0.047672,0.047672,4,0.002358,0,0.375,441,0.235664
Tor Nørretranders,,,12,15,4,0.431246,0.454786,25.319771,0.011469,0.011469,3,0.000825,0,0.287879,19,0.056763
Bill Hybels,,,19,24,5,0.436589,0.463606,64.161972,0.015425,0.015425,3,0.001125,0,0.298246,51,0.076886
Eskil,,,5,5,5,0.397478,0.41867,1.699923,0.004082,0.004082,3,0.000476,0,0.4,4,0.020603
Stefan,,,33,52,4,0.483065,0.506956,23.367976,0.038028,0.038028,4,0.001571,0,0.549242,290,0.186963
Dan,,,27,39,4,0.476531,0.498887,150.150483,0.023357,0.023357,3,0.001495,0,0.321937,113,0.118212
Dan Turell,,,26,30,4,0.47502,0.497218,58.299963,0.02099,0.02099,3,0.001407,0,0.326154,106,0.10644
Line,,,14,18,4,0.457601,0.477323,29.329255,0.011809,0.011809,3,0.000894,0,0.274725,25,0.060006
Nelson Mandela,,,65,126,4,0.502096,0.537841,182.237978,0.06256,0.06256,7,0.002918,0,0.39375,819,0.306995
Fanden,,,41,50,4,0.489779,0.515999,148.867635,0.036832,0.036832,3,0.002052,0,0.346341,284,0.183141
Kaj Munk,,,81,164,4,0.518166,0.5569,338.714385,0.082244,0.082244,1,0.003581,0,0.423148,1371,0.40209
Johannes V . Jensen,,,25,29,4,0.476153,0.497635,168.168535,0.023262,0.023262,3,0.001371,0,0.34,102,0.116281
Peter Madsen,,,36,53,4,0.486596,0.510991,63.003918,0.039754,0.039754,3,0.001735,0,0.485714,306,0.196122
Karen Blixen,,,40,52,4,0.487388,0.513912,179.12598,0.034734,0.034734,3,0.002012,0,0.310256,242,0.173852
Marie,,,82,106,4,0.516379,0.556483,1008.662415,0.063395,0.063395,3,0.003943,0,0.249925,830,0.315866
Esau,,,35,72,4,0.470173,0.49847,213.171118,0.021794,0.021794,3,0.001902,0,0.196639,117,0.110923
Emil,,,44,79,4,0.489779,0.517807,403.056216,0.034159,0.034159,3,0.002281,0,0.263214,249,0.172008
Frederik,,,44,67,4,0.495451,0.521564,268.854379,0.034539,0.034539,3,0.002226,0,0.267442,253,0.175226
Sønnen,,,44,71,4,0.497095,0.522677,446.926383,0.043454,0.043454,3,0.002203,0,0.403805,382,0.215592
skolelæreren,,,18,24,4,0.435004,0.461185,54.848371,0.012135,0.012135,3,0.001102,0,0.222222,34,0.061225
Christian/Kristian,,,104,184,3,0.531028,0.577351,1093.571091,0.092949,0.092949,4,0.004691,0,0.32879,1761,0.456415
